iter	Logloss
0	0.3679555319
1	0.2099910484
2	0.1125641437
3	0.06277871923
4	0.03706641933
5	0.02324731446
6	0.01559989683
7	0.01112980493
8	0.008346875945
9	0.006585937564
10	0.005269436887
11	0.004522274079
12	0.003901750988
13	0.003542663404
14	0.00328995656
15	0.003037651799
16	0.002884722378
17	0.00275497144
18	0.002656837773
19	0.002548849733
20	0.002471432451
21	0.002423781822
22	0.002372693565
23	0.002333692614
24	0.002303284836
25	0.002280288337
26	0.00225314657
27	0.002222552525
28	0.002204150898
29	0.002179868186
30	0.002157220528
31	0.002116836683
32	0.00209620249
33	0.002081502349
34	0.002043461211
35	0.002012780169
36	0.001996467975
37	0.001964708182
38	0.001955237272
39	0.001946661047
40	0.001928624066
41	0.001924735587
42	0.001911173421
43	0.001901286984
44	0.0018677069
45	0.001840658482
46	0.001812355343
47	0.001801395723
48	0.001792243371
49	0.001771961198
50	0.001765845444
51	0.0017345556
52	0.001720413901
53	0.001694571265
54	0.00167671451
55	0.001664792676
56	0.001652066643
57	0.001645946458
58	0.001630353456
59	0.001623452303
60	0.001616831712
61	0.00160909391
62	0.001599800226
63	0.001580314017
64	0.001567442241
65	0.001560116481
66	0.001555529262
67	0.001549335758
68	0.0015351198
69	0.001521939392
70	0.001511011471
71	0.00150638798
72	0.0014973734
73	0.001493798795
74	0.001488194462
75	0.001481133032
76	0.001476244711
77	0.001468398206
78	0.0014569815
79	0.001451418519
80	0.001445815146
81	0.001439900327
82	0.001428444528
83	0.001424660097
84	0.001418993933
85	0.001408077554
86	0.001405729678
87	0.001399046105
88	0.001391779112
89	0.001382622541
90	0.001374503525
91	0.001368808024
92	0.001359477741
93	0.001353780963
94	0.001347969643
95	0.001345214535
96	0.001341917562
97	0.001337162255
98	0.00133171384
99	0.001320053287
100	0.001309943713
101	0.001307218013
102	0.001302156119
103	0.001294035614
104	0.001287682193
105	0.001281970798
106	0.001278561719
107	0.001273804607
108	0.001268752357
109	0.001262040516
110	0.001252626396
111	0.001248990439
112	0.001247276191
113	0.001243583208
114	0.001239677508
115	0.001236998494
116	0.001233325047
117	0.001216175352
118	0.001212456227
119	0.001203693687
120	0.001200220539
121	0.001195828885
122	0.001193184817
123	0.001183742096
124	0.001180431875
125	0.001177890755
126	0.001172892687
127	0.001169559042
128	0.001162743907
129	0.001159955947
130	0.001156142586
131	0.001151907093
132	0.001144482473
133	0.001141230534
134	0.00113737759
135	0.00113390909
136	0.001130373376
137	0.001125655575
138	0.001119870853
139	0.001113815492
140	0.001111733766
141	0.001107355249
142	0.001104414272
143	0.001102867955
144	0.001100300082
145	0.001098116595
146	0.001095824776
